#Top: thunderscope   Floorplan: impl_1   Part: xc7a50tcsg325-2
#Generated by: eevengers-dev0   on: Wed Mar 26 13:38:03 2025
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:34:34 MST 2024
#Package Version: FINAL 2014-03-07
#Package Pin Delay Version: VERS. 2.0 2014-03-07

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
14,R13,IOB_X0Y12,IO_L19P_T3_A10_D26_14,72.503,73.231,,,fe_control_term[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U15,IOB_X0Y16,IO_L17P_T2_A14_D30_14,70.152,70.857,,,fe_control_term[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,R18,IOB_X0Y20,IO_L15P_T2_DQS_RDWR_B_14,68.577,69.266,,,fe_control_term[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,T14,IOB_X0Y24,IO_L13P_T2_MRCC_14,54.103,54.647,,,fe_control_term[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U14,IOB_X0Y10,IO_L20P_T3_A08_D24_14,61.902,62.524,,,main_spi_cs_n[4],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,V16,IOB_X0Y14,IO_L18P_T2_A12_D28_14,76.242,77.008,,,main_spi_cs_n[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,T17,IOB_X0Y18,IO_L16P_T2_CSI_B_14,67.255,67.930,,,main_spi_cs_n[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,R16,IOB_X0Y22,IO_L14P_T2_SRCC_14,63.779,64.420,,,main_spi_cs_n[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,P16,IOB_X0Y27,IO_L11N_T1_SRCC_14,55.847,56.409,,,main_spi_cs_n[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,J16,IOB_X0Y45,IO_L2N_T0_D03_14,68.517,69.206,,,spiflash4x_dq[3],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,J15,IOB_X0Y46,IO_L2P_T0_D02_14,81.023,81.837,,,spiflash4x_dq[2],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,L17,IOB_X0Y47,IO_L1N_T0_D01_DIN_14,58.389,58.976,,,spiflash4x_dq[1],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,K16,IOB_X0Y48,IO_L1P_T0_D00_MOSI_14,66.138,66.803,,,spiflash4x_dq[0],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U11,IOB_X0Y4,IO_L23P_T3_A03_D19_14,65.496,66.154,,,adc_control_acq_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,U12,IOB_X0Y5,IO_L22N_T3_A04_D20_14,59.741,60.341,,,adc_control_osc_oe,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
15,D18,IOB_X0Y65,IO_L17N_T2_A25_15,97.096,98.072,,,adc_data_fclk_n,IN,N,adc_data_fclk_p,LVDS_25,,,,,,,,,,,true,,,
15,E17,IOB_X0Y66,IO_L17P_T2_A26_15,105.980,107.045,,,adc_data_fclk_p,IN,P,adc_data_fclk_n,LVDS_25,,,,,,,,,,,true,,,
15,D15,IOB_X0Y73,IO_L13N_T2_MRCC_15,115.357,116.516,,,adc_data_lclk_n,IN,N,adc_data_lclk_p,LVDS_25,,,,,,,,,,,true,,,
15,E15,IOB_X0Y74,IO_L13P_T2_MRCC_15,111.083,112.199,,,adc_data_lclk_p,IN,P,adc_data_lclk_n,LVDS_25,,,,,,,,,,,true,,,
14,P14,IOB_X0Y26,IO_L12P_T1_MRCC_14,54.554,55.102,,,clk25,IN,,,LVCMOS33,,,,,,,,,,,,,,
14,N16,IOB_X0Y32,IO_L9P_T1_DQS_14,56.000,56.563,,,fe_control_fe_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,M15,IOB_X0Y37,IO_L6N_T0_D08_VREF_14,55.036,55.589,,,fe_probe_compensation,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,V13,IOB_X0Y7,IO_L21N_T3_DQS_A06_D22_14,74.081,74.826,,,i2c_scl,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,T12,IOB_X0Y6,IO_L22P_T3_A05_D21_14,61.271,61.887,,,i2c_sda,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,M16,IOB_X0Y36,IO_L7P_T1_D09_14,65.586,66.245,,,main_spi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,M17,IOB_X0Y35,IO_L7N_T1_D10_14,70.439,71.147,,,main_spi_mosi,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
216,B5,IPAD_X1Y17,MGTREFCLK1N_216,60.241,60.846,,,pcie_x4_clk_n,IN,N,pcie_x4_clk_p,,,,,,,,,,,,,,,
216,B6,IPAD_X1Y16,MGTREFCLK1P_216,59.986,60.589,,,pcie_x4_clk_p,IN,P,pcie_x4_clk_n,,,,,,,,,,,,,,,
14,N18,IOB_X0Y30,IO_L10P_T1_D14_14,64.701,65.351,,,user_led_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
14,L15,IOB_X0Y38,IO_L6P_T0_FCS_B_14,57.750,58.330,,,spiflash4x_cs_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,,FP_VTT_50,,
0,L9,IPAD_X0Y1,VN_0,110.355,111.464,,,,,,,,,,,,,,,,,,,,,
0,K10,IPAD_X0Y0,VP_0,118.640,119.832,,,,,,,,,,,,,,,,,,,,,
0,F12,,DONE_0,112.015,113.141,,,,,,,,,,,,,,,,,,,,,
0,M10,,DXP_0,119.614,120.816,,,,,,,,,,,,,,,,,,,,,
0,J9,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,,,
0,J10,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,,,
0,L10,,VREFP_0,96.896,97.870,,,,,,,,,,,,,,,,,,,,,
0,E11,,VCCBATT_0,,,,,,,,,,,,,,,,,,,,,,,
0,F8,,TCK_0,51.184,51.698,,,,,,,,,,,,,,,,,,,,,
0,M9,,DXN_0,129.759,131.063,,,,,,,,,,,,,,,,,,,,,
0,K9,,VREFN_0,97.625,98.607,,,,,,,,,,,,,,,,,,,,,
0,E8,,CCLK_0,51.369,51.885,,,,,,,,,,,,,,,,,,,,,
0,R12,,M0_0,56.744,57.314,,,,,,,,,,,,,,,,,,,,,
0,R11,,M1_0,53.912,54.454,,,,,,,,,,,,,,,,,,,,,
0,T10,,INIT_B_0,41.941,42.363,,,,,,,,,,,,,,,,,,,,,
0,T9,,TDI_0,47.166,47.641,,,,,,,,,,,,,,,,,,,,,
0,T8,,TDO_0,50.865,51.377,,,,,,,,,,,,,,,,,,,,,
0,F13,,M2_0,118.626,119.818,,,,,,,,,,,,,,,,,,,,,
0,E12,,CFGBVS_0,114.065,115.212,,,,,,,,,,,,,,,,,,,,CFGBVS_0,
0,P10,,PROGRAM_B_0,34.922,35.273,,,,,,,,,,,,,,,,,,,,,
0,R8,,TMS_0,40.282,40.687,,,,,,,,,,,,,,,,,,,,,
0,E10,,VCCO_0,,,,,,,,,,,,,,,,,,,,,,VCCO_0,
0,R10,,VCCO_0,,,,,,,,,,,,,,,,,,,,,,VCCO_0,
14,L14,IOB_X0Y49,IO_0_14,33.197,33.531,,,,,,,,,,,,,,,,,,,,,
14,J18,IOB_X0Y44,IO_L3P_T0_DQS_PUDC_B_14,97.992,98.977,,,,,,,,,,,,,,,,,,,,,
14,K18,IOB_X0Y43,IO_L3N_T0_DQS_EMCCLK_14,91.343,92.261,,,,,,,,,,,,,,,,,,,,,
14,K17,IOB_X0Y42,IO_L4P_T0_D04_14,87.480,88.359,,,,,,,,,,,,,,,,,,,,,
14,L18,IOB_X0Y41,IO_L4N_T0_D05_14,83.486,84.325,,,,,,,,,,,,,,,,,,,,,
14,J14,IOB_X0Y40,IO_L5P_T0_D06_14,63.773,64.414,,,,,,,,,,,,,,,,,,,,,
14,K15,IOB_X0Y39,IO_L5N_T0_D07_14,68.532,69.221,,,,,,,,,,,,,,,,,,,,,
14,M14,IOB_X0Y34,IO_L8P_T1_D11_14,59.215,59.810,,,,,,,,,,,,,,,,,,,,,
14,N14,IOB_X0Y33,IO_L8N_T1_D12_14,71.391,72.108,,,,,,,,,,,,,,,,,,,,,
14,N17,IOB_X0Y31,IO_L9N_T1_DQS_D13_14,62.937,63.570,,,,,,,,,,,,,,,,,,,,,
14,P18,IOB_X0Y29,IO_L10N_T1_D15_14,78.110,78.895,,,,,,,,,,,,,,,,,,,,,
14,P15,IOB_X0Y28,IO_L11P_T1_SRCC_14,49.423,49.920,,,,,,,,,,,,,,,,,,,,,
14,V14,IOB_X0Y9,IO_L20N_T3_A07_D23_14,58.718,59.308,,,,,,,,,,,,,,,,,,,,,
14,V12,IOB_X0Y8,IO_L21P_T3_DQS_14,79.558,80.357,,,,,,,,,,,,,,,,,,,,,
14,V11,IOB_X0Y3,IO_L23N_T3_A02_D18_14,67.185,67.860,,,,,,,,,,,,,,,,,,,,,
14,U9,IOB_X0Y2,IO_L24P_T3_A01_D17_14,94.090,95.035,,,,,,,,,,,,,,,,,,,,,
14,V9,IOB_X0Y1,IO_L24N_T3_A00_D16_14,97.830,98.813,,,,,,,,,,,,,,,,,,,,,
14,U10,IOB_X0Y0,IO_25_14,72.593,73.322,,,,,,,,,,,,,,,,,,,,,
14,L16,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,P17,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,R14,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,T11,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,U8,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,U18,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
14,V15,,VCCO_14,,,,,,,,,,,,,,,,,,,,,,VCCO_14,3.30
15,D10,IOB_X0Y99,IO_0_15,71.275,71.991,,,,,,,,,,,,,,,,,,,,,
15,D8,IOB_X0Y98,IO_L1P_T0_AD0P_15,164.869,166.526,,,,,,,,,,,,,,,,,,,,,
15,C8,IOB_X0Y97,IO_L1N_T0_AD0N_15,153.433,154.975,,,,,,,,,,,,,,,,,,,,,
15,D9,IOB_X0Y96,IO_L2P_T0_AD8P_15,154.432,155.984,,,,,,,,,,,,,,,,,,,,,
15,C9,IOB_X0Y95,IO_L2N_T0_AD8N_15,152.506,154.038,,,,,,,,,,,,,,,,,,,,,
15,B9,IOB_X0Y94,IO_L3P_T0_DQS_AD1P_15,128.732,130.026,,,,,,,,,,,,,,,,,,,,,
15,A9,IOB_X0Y93,IO_L3N_T0_DQS_AD1N_15,125.068,126.325,,,,,,,,,,,,,,,,,,,,,
15,C11,IOB_X0Y92,IO_L4P_T0_15,138.682,140.076,,,,,,,,,,,,,,,,,,,,,
15,B11,IOB_X0Y91,IO_L4N_T0_15,135.822,137.187,,,,,,,,,,,,,,,,,,,,,
15,B10,IOB_X0Y90,IO_L5P_T0_AD9P_15,124.999,126.256,,,,,,,,,,,,,,,,,,,,,
15,A10,IOB_X0Y89,IO_L5N_T0_AD9N_15,129.097,130.394,,,,,,,,,,,,,,,,,,,,,
15,D11,IOB_X0Y88,IO_L6P_T0_15,127.012,128.288,,,,,,,,,,,,,,,,,,,,,
15,C12,IOB_X0Y87,IO_L6N_T0_VREF_15,125.945,127.211,,,,,,,,,,,,,,,,,,,,,
15,B12,IOB_X0Y86,IO_L7P_T1_AD2P_15,144.833,146.288,,,,,,,,,,,,,,,,,,,,,
15,A12,IOB_X0Y85,IO_L7N_T1_AD2N_15,147.956,149.443,,,,,,,,,,,,,,,,,,,,,
15,A13,IOB_X0Y84,IO_L8P_T1_AD10P_15,146.431,147.902,,,,,,,,,,,,,,,,,,,,,
15,A14,IOB_X0Y83,IO_L8N_T1_AD10N_15,150.892,152.408,,,,,,,,,,,,,,,,,,,,,
15,C14,IOB_X0Y82,IO_L9P_T1_DQS_AD3P_15,113.213,114.351,,,,,,,,,,,,,,,,,,,,,
15,B15,IOB_X0Y81,IO_L9N_T1_DQS_AD3N_15,118.589,119.781,,,,,,,,,,,,,,,,,,,,,
15,B14,IOB_X0Y80,IO_L10P_T1_AD11P_15,115.232,116.390,,,,,,,,,,,,,,,,,,,,,
15,A15,IOB_X0Y79,IO_L10N_T1_AD11N_15,130.198,131.506,,,,,,,,,,,,,,,,,,,,,
15,D13,IOB_X0Y78,IO_L11P_T1_SRCC_15,139.431,140.833,,,,,,,,,,,,,,,,,,,,,
15,C13,IOB_X0Y77,IO_L11N_T1_SRCC_15,144.216,145.665,,,,,,,,,,,,,,,,,,,,,
15,E13,IOB_X0Y76,IO_L12P_T1_MRCC_15,124.589,125.841,,,,,,,,,,,,,,,,,,,,,
15,D14,IOB_X0Y75,IO_L12N_T1_MRCC_15,130.430,131.741,,,,,,,,,,,,,,,,,,,,,
15,G17,IOB_X0Y62,IO_L19P_T3_A22_15,96.655,97.626,,,,,,,,,,,,,,,,,,,,,
15,F18,IOB_X0Y61,IO_L19N_T3_A21_VREF_15,96.334,97.302,,,,,,,,,,,,,,,,,,,,,
15,G14,IOB_X0Y56,IO_L22P_T3_A17_15,85.587,86.447,,,,,,,,,,,,,,,,,,,,,
15,F14,IOB_X0Y55,IO_L22N_T3_A16_15,85.983,86.847,,,,,,,,,,,,,,,,,,,,,
15,H14,IOB_X0Y50,IO_25_15,53.356,53.892,,,,,,,,,,,,,,,,,,,,,
15,A16,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,B13,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,C10,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,D17,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,E14,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,G18,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
15,H15,,VCCO_15,,,,,,,,,,,,,,,,,,,,,,VCCO_15,2.50
34,J6,IOB_X1Y49,IO_0_34,43.682,44.121,,,,,,,,,,,,,,,,,,,,,
34,K6,IOB_X1Y48,IO_L1P_T0_34,70.989,71.703,,,,,,,,,,,,,,,,,,,,,
34,K5,IOB_X1Y47,IO_L1N_T0_34,58.181,58.766,,,,,,,,,,,,,,,,,,,,,
34,J5,IOB_X1Y46,IO_L2P_T0_34,71.434,72.152,,,,,,,,,,,,,,,,,,,,,
34,J4,IOB_X1Y45,IO_L2N_T0_34,58.644,59.233,,,,,,,,,,,,,,,,,,,,,
34,K2,IOB_X1Y44,IO_L3P_T0_DQS_34,64.117,64.761,,,,,,,,,,,,,,,,,,,,,
34,K1,IOB_X1Y43,IO_L3N_T0_DQS_34,61.140,61.754,,,,,,,,,,,,,,,,,,,,,
34,K3,IOB_X1Y42,IO_L4P_T0_34,57.141,57.716,,,,,,,,,,,,,,,,,,,,,
34,L4,IOB_X1Y40,IO_L5P_T0_34,41.862,42.282,,,,,,,,,,,,,,,,,,,,,
34,L3,IOB_X1Y39,IO_L5N_T0_34,50.497,51.005,,,,,,,,,,,,,,,,,,,,,
34,L5,IOB_X1Y38,IO_L6P_T0_34,42.404,42.831,,,,,,,,,,,,,,,,,,,,,
34,M5,IOB_X1Y37,IO_L6N_T0_VREF_34,29.605,29.903,,,,,,,,,,,,,,,,,,,,,
34,M2,IOB_X1Y36,IO_L7P_T1_34,60.545,61.153,,,,,,,,,,,,,,,,,,,,,
34,M1,IOB_X1Y35,IO_L7N_T1_34,61.644,62.264,,,,,,,,,,,,,,,,,,,,,
34,M6,IOB_X1Y34,IO_L8P_T1_34,49.945,50.447,,,,,,,,,,,,,,,,,,,,,
34,N6,IOB_X1Y33,IO_L8N_T1_34,60.767,61.378,,,,,,,,,,,,,,,,,,,,,
34,N1,IOB_X1Y32,IO_L9P_T1_DQS_34,66.267,66.933,,,,,,,,,,,,,,,,,,,,,
34,P1,IOB_X1Y31,IO_L9N_T1_DQS_34,67.490,68.168,,,,,,,,,,,,,,,,,,,,,
34,M4,IOB_X1Y30,IO_L10P_T1_34,49.318,49.814,,,,,,,,,,,,,,,,,,,,,
34,N4,IOB_X1Y29,IO_L10N_T1_34,58.189,58.774,,,,,,,,,,,,,,,,,,,,,
34,N3,IOB_X1Y28,IO_L11P_T1_SRCC_34,53.012,53.545,,,,,,,,,,,,,,,,,,,,,
34,N2,IOB_X1Y27,IO_L11N_T1_SRCC_34,54.556,55.104,,,,,,,,,,,,,,,,,,,,,
34,P4,IOB_X1Y26,IO_L12P_T1_MRCC_34,43.456,43.893,,,,,,,,,,,,,,,,,,,,,
34,P3,IOB_X1Y25,IO_L12N_T1_MRCC_34,45.567,46.025,,,,,,,,,,,,,,,,,,,,,
34,R2,IOB_X1Y24,IO_L13P_T2_MRCC_34,62.355,62.982,,,,,,,,,,,,,,,,,,,,,
34,R1,IOB_X1Y23,IO_L13N_T2_MRCC_34,66.761,67.432,,,,,,,,,,,,,,,,,,,,,
34,R3,IOB_X1Y22,IO_L14P_T2_SRCC_34,64.924,65.576,,,,,,,,,,,,,,,,,,,,,
34,T2,IOB_X1Y21,IO_L14N_T2_SRCC_34,67.811,68.492,,,,,,,,,,,,,,,,,,,,,
34,U2,IOB_X1Y20,IO_L15P_T2_DQS_34,77.796,78.578,,,,,,,,,,,,,,,,,,,,,
34,U1,IOB_X1Y19,IO_L15N_T2_DQS_34,75.322,76.079,,,,,,,,,,,,,,,,,,,,,
34,V3,IOB_X1Y18,IO_L16P_T2_34,78.813,79.605,,,,,,,,,,,,,,,,,,,,,
34,V2,IOB_X1Y17,IO_L16N_T2_34,73.837,74.579,,,,,,,,,,,,,,,,,,,,,
34,T4,IOB_X1Y16,IO_L17P_T2_34,56.431,56.998,,,,,,,,,,,,,,,,,,,,,
34,T3,IOB_X1Y15,IO_L17N_T2_34,47.680,48.159,,,,,,,,,,,,,,,,,,,,,
34,U4,IOB_X1Y14,IO_L18P_T2_34,60.807,61.418,,,,,,,,,,,,,,,,,,,,,
34,V4,IOB_X1Y13,IO_L18N_T2_34,59.810,60.411,,,,,,,,,,,,,,,,,,,,,
34,P6,IOB_X1Y12,IO_L19P_T3_34,42.815,43.245,,,,,,,,,,,,,,,,,,,,,
34,P5,IOB_X1Y11,IO_L19N_T3_VREF_34,28.656,28.944,,,,,,,,,,,,,,,,,,,,,
34,U6,IOB_X1Y10,IO_L20P_T3_34,65.998,66.661,,,,,,,,,,,,,,,,,,,,,
