Comment,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Part Number 1
"DMN62D0UW","Q1, Q2, Q3A, Q3B, Q3C, Q3D, Q4A, Q4B, Q4C, Q4D, Q5A, Q5B, Q5C, Q5D","GEN_SOT_323","NMOS DMN62D0UW","14","Digi-Key","DMN62D0UW-7DICT-ND"
"10K","R2, R6, R14, R16, R20, R21, R22, R23, R24, R25, R38, R42, R44, R46, R47A, R47B, R47C, R47D, R48A, R48B, R48C, R48D, R49A, R49B, R49C, R49D, R50A, R50B, R50C, R50D, R51A, R51B, R51C, R51D, R66, R89, R90, R91, R101, R102, R103, R110, R121A, R121B, R121C, R121D, R125A, R125B, R125C, R125D, R126A, R126B, R126C, R126D, R127A, R127B, R127C, R127D","GEN_R_0402","RES 10K OHM 1% 1/10W 0402","58","Digi-Key","P10.0KLCT-ND"
"0.01","R3, R7, R36, R58, R95","GEN_R_0603","RES 0.01 OHM 1% 1/4W 0603","5","Digi-Key","408-1404-1-ND"
"0.1","R8, R9, R104, R117","GEN_R_0402","RES 0.1 OHM 1% 1/6W 0402","4","Digi-Key","P.10AKCT-ND"
"680K","R10, R33A, R33B, R33C, R33D","GEN_R_0402","RES 680K OHM 1% 1/16W 0402","5","Digi-Key","YAG3211CT-ND"
"300K","R11, R32A, R32B, R32C, R32D","GEN_R_0402","RES 300K OHM 1% 1/10W 0402","5","Digi-Key","P300KLCT-ND"
"90.9k","R12, R98A, R98B, R98C, R98D, R99A, R99B, R99C, R99D, R122A, R122B, R122C, R122D","GEN_R_0402","RES 90.9K OHM 1% 1/16W 0402","13","Digi-Key","311-90.9KLRCT-ND"
"100k","R13, R39, R55A, R55B, R55C, R55D, R61, R105","GEN_R_0402","RES 100K OHM 1% 1/10W 0402","8","Digi-Key","311-100KLRCT-ND"
"1K","R26, R27, R28, R67, R92, R93, R94, R111, R118A, R118B, R118C, R118D, R119A, R119B, R119C, R119D","GEN_R_0402","RES 1K OHM 1% 1/10W 0402","16","Digi-Key","311-1.00KLRCT-ND"
"30","R29A, R29B, R29C, R29D, R53A, R53B, R53C, R53D, R54A, R54B, R54C, R54D","GEN_R_0603","RES 30 OHM 1% 1/3W 0603","12","Digi-Key","2019-SG73P1JTTD30R0FCT-ND"
"10","R30A, R30B, R30C, R30D, R31A, R31B, R31C, R31D, R41A, R41B, R41C, R41D, R43A, R43B, R43C, R43D","GEN_R_0603","RES 10 OHM 1% 1/3W 0603","16","Digi-Key","2019-SG73P1JTTD10R0FCT-ND"
"20k","R35A, R35B, R35C, R35D","GEN_R_0402","RES 20K OHM 1% 1/16W 0402","4","Digi-Key","311-20.0KLRCT-ND"
"220K","R37","GEN_R_0402","RES 220K OHM 1% 1/16W 0402","1","Digi-Key","311-220KLRCT-ND"
"100","R57, R60, R62, R63, R64","GEN_R_0402","RES 100 OHM 1% 1/10W 0402","5","Digi-Key","2019-RK73H1ETTP1000FCT-ND"
"261K","R59","GEN_R_0402","RES 261K OHM 1% 1/16W 0402","1","Digi-Key","311-261KLRCT-ND"
"909k","R65A, R65B, R65C, R65D, R96A, R96B, R96C, R96D","GEN_R_0402","RES 909K OHM 1% 1/16W 0402","8","Digi-Key","YAG2377CT-ND"
"0","R70, R71, R74, R75, R78, R79, R82, R83","GEN_R_0201","RES 0 OHM 1% 1/20W 0201","8","Digi-Key","RMCF0201ZT0R00CT-ND"
"49.9","R85","GEN_R_0402","RES 49.9 OHM 1% 1/10W 0402","1","Digi-Key","311-49.9LRCT-ND"
"2K","R100A, R100B, R100C, R100D","GEN_R_0402","RES 2K OHM 1% 1/16W 0402","4","Digi-Key","311-2KLRCT-ND"
"5K","R124A, R124B, R124C, R124D","BOU_3mm_POT","TRIMMER 5K OHM 0.1W J LEAD TOP","4","Digi-Key","TC33X-502ECT-ND"
"2118728-2","SHLD3A, SHLD3B, SHLD3C, SHLD3D","TE_2118728-2","SHIELD 2118728-2","4","Digi-Key","A126158CT-ND"
"5015","TP3, TP18, TP32, TP45, TP46, TP47","KEY_5015","TP KEYSTONE 5015","6","Digi-Key","36-5015CT-ND"
"5019","TP5, TP6","KEY_5019","TP KEYSTONE 5019","2","Digi-Key","36-5019CT-ND"
"SN74LVC1G17","U1","GEN_SC-70-5","IC BUFFER SN74LVC1G17","1","Digi-Key","296-11934-1-ND"
"TPS61023","U2","TI_SOT563_DRL0006A","IC BOOST TPS61023","1","Digi-Key","296-TPS61023DRLTCT-ND"
"ADM7171ACPZ-5.0","U3","AD_DFN8_CP-8-21","IC LDO ADM7171ACPZ-5.0","1","Digi-Key","505-ADM7171ACPZ-5.0-R7CT-ND"
"LM27761","U4","TI_WSON8_DSG0008A","IC CPUMP LM27761","1","Digi-Key","296-44379-1-ND"
"OP07CDR","U5, U8, U18A, U18B, U18C, U18D","TI_SOIC8_D0008A","IC OPAMP OP07CDR","6","Digi-Key","296-14626-1-ND"
"MCP4728","U6","MC_MSOP10_UN","IC DAC QUAD MCP4728","1","Digi-Key","MCP4728A1T-E/UNCT-ND"
"LMH6518","U7A, U7B, U7C, U7D","TI_WQFN_RGH0016A","IC PGA LMH6518","4","Digi-Key","LMH6518SQE/NOPBCT-ND"
"BUF802","U9A, U9B, U9C, U9D","TI_VQFN_RGT0016C","IC BUFFER AMP BUF802","4","Mouser","595-BUF802IRGTR"
"TS12A4516","U10A, U10B, U10C, U10D","GEN_SOT23_5_950_2900X1600X1450","IC SWITCH SPST TS12A4516DBVR","4","Digi-Key","296-24269-1-ND"
"TPS62A01","U11","TI_SOT563_DRL0006A","IC BUCK TPS62A01","1","Mouser","595-TPS62A01DRLR"
"HMCAD1511","U12","AD_QFN48_LP7","IC ADC HMCAD1511","1","Digi-Key","1127-1648-ND"
"LD57100JR","U13","ST_FlipChip6","IC LDO LD57100JR","1","Digi-Key","497-LD57100JRCT-ND"
"TPS22975","U14","TI_WSON8_DSG0008A","IC SWITCH LOAD TPS22975","1","Digi-Key","296-47228-1-ND"
"ZL30260LDG1","U15","MC_QFN56_ZL30260","IC CLK GEN ZL30260LDG1","1","Mouser","494-ZL30260LDG1"
"TPS7A2025","U16","GEN_SOT23_5_950_2900X1600X1450","IC LDO TPS7A2025","1","Digi-Key","296-TPS7A2025PDBVRCT-ND"
"MCP4432T-503E","U17","MC_TSSOP14","IC DIGIPOT QUAD MCP4432T-503E","1","Mouser","579-MCP4432T-503E/ST"
"TPS7A2033","U20","GEN_SOT23_5_950_2900X1600X1450","IC LDO TPS7A2033","1","Mouser","595-TPS7A2033PDBVR"
"10MHz","Y1","ECS_TXO-3225","OSC 10MHz ECS-TXO-3225MV","1","Digi-Key","50-ECS-TXO-3225MV-100-CT-ND"
